col-coord,row-coord,isTower,filename,h_params,s_params,v_params,r_params,g_params,b_params,dissimilarity_params,contrast_params,homogeneity_params,ASM_params,energy_params,correlation_params
5011,1634,Yes,DSC00306.JPG,0.05555555555555556,0.3958333333333333,0.5647058823529412,144,106,87,"[[1660 1793]
 [1615 1931]
 [1551 1547]]","[[32312 47535]
 [36043 55865]
 [38963 42515]]","[[18.8904221  15.86001669]
 [10.81203637  9.66576034]
 [ 5.40925684  5.57831199]]","[[178 166]
 [144 134]
 [110 102]]","[[13.34166406 12.88409873]
 [12.         11.5758369 ]
 [10.48808848 10.09950494]]","[[0.99999959 0.9999994 ]
 [0.99999923 0.9999987 ]
 [0.99999843 0.99999782]]"
5032,1655,Yes,DSC00306.JPG,0.05454545454545453,0.41353383458646614,0.5215686274509804,133,96,78,"[[1354 1232]
 [1377 1158]
 [ 964 1030]]","[[17750 15932]
 [22061 14320]
 [14670 15294]]","[[10.98371454 14.59063256]
 [ 6.95462344  8.62956973]
 [ 7.56346149  6.86256842]]","[[178 190]
 [142 150]
 [110 106]]","[[13.34166406 13.78404875]
 [11.91637529 12.24744871]
 [10.48808848 10.29563014]]","[[0.99999973 0.99999976]
 [0.99999938 0.9999996 ]
 [0.99999912 0.99999906]]"
3986,1296,Yes,DSC00306.JPG,0.0357142857142857,0.4421052631578947,0.37254901960784315,95,62,53,"[[924 939]
 [864 723]
 [740 662]]","[[9056 9117]
 [9106 7255]
 [7568 8012]]","[[23.31766171 21.71006427]
 [13.66616989 27.28014864]
 [ 9.04665704 12.54300798]]","[[230 206]
 [158 180]
 [120 114]]","[[15.16575089 14.35270009]
 [12.56980509 13.41640786]
 [10.95445115 10.67707825]]","[[0.99999974 0.99999974]
 [0.99999953 0.99999963]
 [0.99999922 0.99999912]]"
4029,1391,Yes,DSC00306.JPG,0.0357142857142857,0.4421052631578947,0.37254901960784315,95,62,53,"[[654 718]
 [579 665]
 [480 458]]","[[5134 5504]
 [4581 5703]
 [3882 3230]]","[[35.36390178 23.81243284]
 [27.71099864 21.93973384]
 [17.99646908 15.63373704]]","[[324 280]
 [220 200]
 [150 178]]","[[18.         16.73320053]
 [14.83239697 14.14213562]
 [12.24744871 13.34166406]]","[[0.99999985 0.99999983]
 [0.99999978 0.99999969]
 [0.99999963 0.9999997 ]]"
4103,1507,Yes,DSC00306.JPG,0.06531531531531536,0.4180790960451977,0.6941176470588235,177,132,103,"[[1222 1561]
 [1238 1466]
 [1170 1216]]","[[17404 30447]
 [19690 27848]
 [24096 24046]]","[[19.69789793 21.97875322]
 [14.27539223 12.90851104]
 [ 9.46677184  9.17363745]]","[[198 186]
 [134 132]
 [110 114]]","[[14.07124728 13.6381817 ]
 [11.5758369  11.48912529]
 [10.48808848 10.67707825]]","[[0.99999988 0.99999978]
 [0.9999998  0.99999964]
 [0.99999953 0.99999934]]"
4166,1750,Yes,DSC00306.JPG,0.05454545454545453,0.3594771241830065,0.6,153,116,98,"[[3533 6881]
 [4044 9279]
 [3986 9558]]","[[ 147061  486369]
 [ 231342  919561]
 [ 264216 1178028]]","[[6.81620664 3.24118716]
 [1.93026479 0.86703758]
 [1.81781124 0.81319149]]","[[154 156]
 [128 126]
 [ 98 104]]","[[12.40967365 12.489996  ]
 [11.3137085  11.22497216]
 [ 9.89949494 10.19803903]]","[[0.99999926 0.99999807]
 [0.99999785 0.99999554]
 [0.99999454 0.99999312]]"
4229,1908,Yes,DSC00306.JPG,0.07383966244725743,0.3779904306220096,0.8196078431372549,209,165,130,"[[1647 2347]
 [1773 2777]
 [1614 2628]]","[[ 30043  58959]
 [ 38041  95633]
 [ 39776 111666]]","[[17.06873994  9.90880802]
 [ 7.42530289  4.56150211]
 [ 5.82512463  5.41600304]]","[[160 164]
 [134 132]
 [ 98 104]]","[[12.64911064 12.80624847]
 [11.5758369  11.48912529]
 [ 9.89949494 10.19803903]]","[[0.99999985 0.99999978]
 [0.99999969 0.99999951]
 [0.99999938 0.99999916]]"
4293,1993,Yes,DSC00306.JPG,0.05913978494623654,0.13656387665198227,0.8901960784313725,227,207,196,"[[1657 2834]
 [1938 3143]
 [1913 3119]]","[[ 27009  78878]
 [ 44482 107631]
 [ 54039 128139]]","[[12.43073753  7.97629207]
 [10.10308125  1.34024322]
 [ 6.25073986  0.49373405]]","[[156 158]
 [130 136]
 [108 106]]","[[12.489996   12.56980509]
 [11.40175425 11.66190379]
 [10.39230485 10.29563014]]","[[0.99999991 0.99999977]
 [0.99999974 0.99999957]
 [0.99999933 0.99999922]]"
4409,2341,Yes,DSC00306.JPG,0.08072916666666667,0.29357798165137616,0.8549019607843137,218,185,154,"[[1517 2084]
 [1444 2199]
 [1096 1586]]","[[25741 45910]
 [25052 56667]
 [17656 36538]]","[[15.71413434 10.91789407]
 [10.27282185  8.13451753]
 [ 7.00970217  6.52920942]]","[[164 168]
 [130 136]
 [108 104]]","[[12.80624847 12.9614814 ]
 [11.40175425 11.66190379]
 [10.39230485 10.19803903]]","[[0.99999989 0.9999998 ]
 [0.9999998  0.99999956]
 [0.99999971 0.99999939]]"
3944,2510,Yes,DSC00306.JPG,0.06060606060606061,0.49253731343283585,0.5254901960784314,134,92,68,"[[1495 1215]
 [1453 1216]
 [1168 1208]]","[[27981 14539]
 [31395 20590]
 [22434 20810]]","[[20.76427526 15.83885825]
 [14.82760062 18.10690916]
 [ 8.31410567  6.21750931]]","[[190 182]
 [140 134]
 [100 106]]","[[13.78404875 13.49073756]
 [11.83215957 11.5758369 ]
 [10.         10.29563014]]","[[0.99999961 0.99999978]
 [0.99999923 0.99999948]
 [0.99999894 0.99999903]]"
4124,2521,Yes,DSC00306.JPG,0.06284153005464481,0.5495495495495496,0.43529411764705883,111,73,50,"[[1797 1854]
 [1846 1545]
 [1660 1124]]","[[34025 35808]
 [38786 32771]
 [39848 19554]]","[[11.55479202 11.00291161]
 [ 7.17280561  9.57921406]
 [ 5.24660907  6.02400323]]","[[174 162]
 [130 140]
 [100 108]]","[[13.19090596 12.72792206]
 [11.40175425 11.83215957]
 [10.         10.39230485]]","[[0.99999954 0.99999947]
 [0.99999928 0.99999916]
 [0.99999903 0.9999992 ]]"
4240,2521,Yes,DSC00306.JPG,0.06666666666666665,0.4958677685950413,0.4745098039215686,121,85,61,"[[1354 1510]
 [1221 1614]
 [1055 1229]]","[[27804 24384]
 [22397 35200]
 [20483 28171]]","[[16.66967996 15.1537959 ]
 [13.22648859 11.04106616]
 [ 8.49690439 12.11382514]]","[[198 176]
 [156 146]
 [106 108]]","[[14.07124728 13.26649916]
 [12.489996   12.08304597]
 [10.29563014 10.39230485]]","[[0.99999959 0.99999964]
 [0.99999942 0.99999908]
 [0.99999895 0.99999857]]"
4367,2521,Yes,DSC00306.JPG,0.0582010582010582,0.48837209302325574,0.5058823529411764,129,88,66,"[[1285 1361]
 [1346 1359]
 [1313  933]]","[[16313 24401]
 [19560 28107]
 [24069 16823]]","[[14.23752955 24.0337628 ]
 [ 7.33609435 12.02289523]
 [ 6.44521381 15.46247425]]","[[196 180]
 [164 144]
 [102 116]]","[[14.         13.41640786]
 [12.80624847 12.        ]
 [10.09950494 10.77032961]]","[[0.99999976 0.9999996 ]
 [0.9999996  0.99999919]
 [0.99999915 0.99999905]]"
4684,2521,Yes,DSC00306.JPG,0.06432748538011694,0.4596774193548387,0.48627450980392156,124,89,67,"[[1485 1671]
 [1369 1708]
 [1243 1379]]","[[24199 27497]
 [23577 33746]
 [26069 29875]]","[[19.05708568 12.63069306]
 [10.82331555  4.65529657]
 [ 8.92564792  5.55237614]]","[[172 182]
 [136 130]
 [ 98 106]]","[[13.11487705 13.49073756]
 [11.66190379 11.40175425]
 [ 9.89949494 10.29563014]]","[[0.99999969 0.9999996 ]
 [0.99999947 0.99999915]
 [0.99999882 0.99999852]]"
4758,2521,Yes,DSC00306.JPG,0.05932203389830509,0.45736434108527124,0.5058823529411764,129,91,70,"[[1106  970]
 [1205  937]
 [1085  815]]","[[13382 10212]
 [16511 11569]
 [15737 10461]]","[[20.83708634 21.43233134]
 [ 7.82793803 14.93302191]
 [ 5.96930884 10.99527358]]","[[204 208]
 [152 146]
 [118 120]]","[[14.28285686 14.4222051 ]
 [12.32882801 12.08304597]
 [10.86278049 10.95445115]]","[[0.99999981 0.99999984]
 [0.99999965 0.99999971]
 [0.99999954 0.99999953]]"
5022,2542,Yes,DSC00306.JPG,0.05932203389830507,0.46825396825396826,0.49411764705882355,126,88,67,"[[968 863]
 [979 730]
 [909 565]]","[[ 9514  7483]
 [11147  6820]
 [12399  5723]]","[[21.73875278 24.4695378 ]
 [12.55777555 18.14454551]
 [ 9.16450117 18.71173439]]","[[218 194]
 [170 158]
 [118 110]]","[[14.76482306 13.92838828]
 [13.03840481 12.56980509]
 [10.86278049 10.48808848]]","[[0.99999986 0.99999987]
 [0.99999977 0.99999979]
 [0.99999954 0.99999962]]"
4567,2627,Yes,DSC00306.JPG,0.05454545454545453,0.423076923076923,0.5098039215686274,130,93,75,"[[1731 2082]
 [1669 2240]
 [1396 1926]]","[[35001 48158]
 [41597 64230]
 [37754 57830]]","[[16.76777624 16.37769501]
 [10.79620928  9.83206077]
 [ 8.75716818  5.79325036]]","[[176 172]
 [138 136]
 [112 102]]","[[13.26649916 13.11487705]
 [11.74734012 11.66190379]
 [10.58300524 10.09950494]]","[[0.9999994  0.99999931]
 [0.99999868 0.99999847]
 [0.99999744 0.99999758]]"
4578,2732,Yes,DSC00306.JPG,0.06432748538011694,0.42222222222222217,0.5294117647058824,135,100,78,"[[1548 2378]
 [1665 1944]
 [1449 1645]]","[[33144 86990]
 [44543 54704]
 [42971 46695]]","[[21.18727261 13.30211914]
 [15.16721452  8.99842509]
 [ 9.25528199  5.19115017]]","[[180 170]
 [140 140]
 [112 102]]","[[13.41640786 13.03840481]
 [11.83215957 11.83215957]
 [10.58300524 10.09950494]]","[[0.99999965 0.99999905]
 [0.99999913 0.99999892]
 [0.99999824 0.99999813]]"
4578,2764,Yes,DSC00306.JPG,0.09803921568627445,0.08457711442786069,0.788235294117647,201,194,184,"[[1852 3133]
 [1610 3320]
 [1426 2920]]","[[ 39932  96353]
 [ 34006 115786]
 [ 33662 113672]]","[[17.03669802  9.09064411]
 [ 9.32621364  3.53365393]
 [ 6.77718456  1.39675401]]","[[162 160]
 [142 136]
 [100 108]]","[[12.72792206 12.64911064]
 [11.91637529 11.66190379]
 [10.         10.39230485]]","[[0.99999981 0.99999956]
 [0.9999997  0.99999903]
 [0.99999937 0.99999793]]"
4039,2457,Yes,DSC00306.JPG,0.0687830687830688,0.5121951219512195,0.4823529411764706,123,86,60,"[[1914 1825]
 [2054 1964]
 [1965 1525]]","[[37388 36125]
 [50376 52834]
 [59703 40357]]","[[10.80504296 12.72041535]
 [ 7.83575499  8.84795485]
 [ 6.17550145  8.77262654]]","[[164 160]
 [138 134]
 [100 106]]","[[12.80624847 12.64911064]
 [11.74734012 11.5758369 ]
 [10.         10.29563014]]","[[0.9999995  0.9999995 ]
 [0.99999893 0.99999867]
 [0.99999775 0.99999786]]"
4451,2468,Yes,DSC00306.JPG,0.05128205128205129,0.45217391304347826,0.45098039215686275,115,79,63,"[[1288 1423]
 [1276 1511]
 [1133 1345]]","[[16754 21659]
 [20474 30989]
 [22033 27351]]","[[14.07839219 13.59851067]
 [ 8.06072244  9.03378428]
 [ 6.84938771  5.19858597]]","[[166 186]
 [138 142]
 [102 108]]","[[12.88409873 13.6381817 ]
 [11.74734012 11.91637529]
 [10.09950494 10.39230485]]","[[0.99999974 0.99999965]
 [0.99999942 0.99999916]
 [0.99999865 0.99999873]]"
4842,2510,Yes,DSC00306.JPG,0.05654761904761905,0.3888888888888889,0.5647058823529412,144,107,88,"[[1892 1441]
 [2021 1455]
 [1417 1165]]","[[34648 23195]
 [45899 29827]
 [31133 21241]]","[[ 8.59445194 18.24820604]
 [ 7.50116962 13.04640092]
 [ 5.23542752  6.56772878]]","[[174 182]
 [138 138]
 [116 104]]","[[13.19090596 13.49073756]
 [11.74734012 11.74734012]
 [10.77032961 10.19803903]]","[[0.9999994  0.99999959]
 [0.99999857 0.99999903]
 [0.99999807 0.99999851]]"
5106,2500,Yes,DSC00306.JPG,0.05864197530864196,0.44999999999999996,0.47058823529411764,120,85,66,"[[962 760]
 [825 630]
 [493 601]]","[[10358  6184]
 [ 8771  5454]
 [ 4169  6307]]","[[22.93700254 30.20372133]
 [16.79551882 23.15083313]
 [17.15725308 14.86508208]]","[[224 246]
 [188 218]
 [124 144]]","[[14.96662955 15.68438714]
 [13.7113092  14.76482306]
 [11.13552873 12.        ]]","[[0.99999983 0.9999999 ]
 [0.99999974 0.99999985]
 [0.99999976 0.99999963]]"
110,2236,Yes,DSC00306.JPG,0.054545454545454564,0.44354838709677424,0.48627450980392156,124,87,69,"[[3359 2660]
 [3346 2474]
 [3105 1787]]","[[172417  83296]
 [186392  87886]
 [185409  59927]]","[[14.30261118  6.51088695]
 [ 6.07070619  8.2009289 ]
 [ 4.8507424   4.82679583]]","[[168 160]
 [134 134]
 [102 106]]","[[12.9614814  12.64911064]
 [11.5758369  11.5758369 ]
 [10.09950494 10.29563014]]","[[0.99999829 0.99999902]
 [0.9999968  0.99999808]
 [0.9999941  0.99999721]]"
152,2267,Yes,DSC00306.JPG,0.05059523809523806,0.4242424242424243,0.5176470588235295,132,93,76,"[[1895 1077]
 [2262  903]
 [2457  863]]","[[34333 14675]
 [52390 11047]
 [70123 13661]]","[[ 7.98496012 20.99713433]
 [ 5.61413788 18.803839  ]
 [ 0.99868688 11.52791172]]","[[170 182]
 [146 136]
 [104 106]]","[[13.03840481 13.49073756]
 [12.08304597 11.66190379]
 [10.19803903 10.29563014]]","[[0.99999964 0.99999978]
 [0.99999949 0.9999997 ]
 [0.99999916 0.99999921]]"
321,2257,Yes,DSC00306.JPG,0.055555555555555546,0.49640287769784164,0.5450980392156862,139,93,70,"[[924 875]
 [812 728]
 [622 584]]","[[9836 7899]
 [8610 6874]
 [6306 6142]]","[[30.16094058 22.42716743]
 [23.34934944 21.7573573 ]
 [13.67153779 17.69947468]]","[[230 210]
 [170 170]
 [128 140]]","[[15.16575089 14.49137675]
 [13.03840481 13.03840481]
 [11.3137085  11.83215957]]","[[0.9999999  0.99999991]
 [0.99999986 0.99999987]
 [0.99999982 0.99999977]]"
416,2278,Yes,DSC00306.JPG,0.06862745098039215,0.49418604651162795,0.6745098039215687,172,122,87,"[[2011 2316]
 [2175 2295]
 [2196 1906]]","[[41691 55032]
 [56759 70743]
 [70180 60860]]","[[14.04453551 10.7986524 ]
 [ 4.17776667  8.63878858]
 [ 3.54037705  5.02246392]]","[[174 166]
 [142 130]
 [100 102]]","[[13.19090596 12.88409873]
 [11.91637529 11.40175425]
 [10.         10.09950494]]","[[0.99999966 0.99999953]
 [0.99999928 0.9999989 ]
 [0.99999824 0.99999794]]"
532,2278,Yes,DSC00306.JPG,0.06060606060606061,0.532258064516129,0.48627450980392156,124,82,58,"[[ 877 1156]
 [ 714  984]
 [ 591  883]]","[[ 7687 13448]
 [ 6464 11658]
 [ 5397 12395]]","[[19.84280284 16.32576122]
 [19.21954737 14.87880124]
 [15.97935221 11.25012515]]","[[190 186]
 [156 166]
 [124 130]]","[[13.78404875 13.6381817 ]
 [12.489996   12.88409873]
 [11.13552873 11.40175425]]","[[0.99999989 0.99999981]
 [0.99999984 0.99999975]
 [0.99999972 0.99999951]]"
860,2362,Yes,DSC00306.JPG,0.056372549019607844,0.45637583892617456,0.5843137254901961,149,104,81,"[[1539 2303]
 [1616 2373]
 [1542 1710]]","[[23433 50387]
 [31514 69343]
 [38850 46748]]","[[13.27379139 10.51933447]
 [ 8.9777911   8.19265781]
 [ 6.60676921  6.23471398]]","[[164 168]
 [136 132]
 [102 104]]","[[12.80624847 12.9614814 ]
 [11.66190379 11.48912529]
 [10.09950494 10.19803903]]","[[0.99999974 0.99999933]
 [0.99999952 0.99999833]
 [0.99999886 0.99999753]]"
902,2278,Yes,DSC00306.JPG,0.05555555555555556,0.38255033557046986,0.5843137254901961,149,111,92,"[[2014 2093]
 [2136 2168]
 [1824 1618]]","[[52274 45649]
 [62774 56908]
 [57894 40898]]","[[13.56461276 11.10196275]
 [ 6.08562393  6.52505641]
 [ 5.88951346  4.17114159]]","[[168 162]
 [128 134]
 [100 110]]","[[12.9614814  12.72792206]
 [11.3137085  11.5758369 ]
 [10.         10.48808848]]","[[0.99999926 0.99999933]
 [0.99999839 0.99999848]
 [0.99999671 0.99999772]]"
627,3725,Yes,DSC00306.JPG,0.06060606060606061,0.4817518248175182,0.5372549019607843,137,95,71,"[[1006 1014]
 [1056 1024]
 [1013  929]]","[[10166 11348]
 [13540 13114]
 [16453 13657]]","[[21.03030204 22.99280126]
 [14.52723189 15.18811896]
 [11.48467857  9.79532541]]","[[184 192]
 [164 152]
 [114 116]]","[[13.56465997 13.85640646]
 [12.80624847 12.32882801]
 [10.67707825 10.77032961]]","[[0.9999999  0.99999986]
 [0.99999979 0.99999971]
 [0.99999947 0.99999938]]"
743,3672,Yes,DSC00306.JPG,0.06410256410256411,0.46762589928057546,0.5450980392156862,139,99,74,"[[1030 1023]
 [ 940  762]
 [ 707  615]]","[[10732 11181]
 [10152  7710]
 [ 7257  6569]]","[[19.28703921 23.29561151]
 [13.6695525  20.77392445]
 [10.93135524 13.68789336]]","[[216 244]
 [196 186]
 [118 120]]","[[14.69693846 15.62049935]
 [14.         13.6381817 ]
 [10.86278049 10.95445115]]","[[0.99999987 0.99999986]
 [0.99999977 0.99999983]
 [0.99999965 0.99999968]]"
912,3535,Yes,DSC00306.JPG,0.05864197530864199,0.3913043478260869,0.5411764705882353,138,103,84,"[[1808 1498]
 [2058 1378]
 [1926  944]]","[[34632 25338]
 [55896 22892]
 [55166 13056]]","[[14.17178622 17.22468457]
 [ 6.65231316  9.18283569]
 [ 5.66578315 11.16098626]]","[[170 174]
 [142 132]
 [102 110]]","[[13.03840481 13.19090596]
 [11.91637529 11.48912529]
 [10.09950494 10.48808848]]","[[0.99999971 0.99999969]
 [0.99999933 0.99999949]
 [0.99999907 0.99999938]]"
997,3472,Yes,DSC00306.JPG,0.05454545454545454,0.49107142857142855,0.4392156862745098,112,75,57,"[[1015  801]
 [ 812  833]
 [ 662  702]]","[[10843  8283]
 [ 8464  8431]
 [ 8438  7376]]","[[22.61443683 38.28893959]
 [18.17318033 18.04527385]
 [14.02297534 11.28949603]]","[[244 244]
 [164 156]
 [130 138]]","[[15.62049935 15.62049935]
 [12.80624847 12.489996  ]
 [11.40175425 11.74734012]]","[[0.99999983 0.99999987]
 [0.99999978 0.99999976]
 [0.99999955 0.99999954]]"
4187,2669,Yes,DSC00306.JPG,0.05714285714285714,0.5737704918032787,0.47843137254901963,122,76,52,"[[722 689]
 [593 593]
 [521 569]]","[[5714 5231]
 [4759 5099]
 [5281 5441]]","[[27.74292935 33.46117781]
 [24.65356343 28.35090429]
 [18.54825378 15.22748468]]","[[258 270]
 [190 208]
 [142 132]]","[[16.0623784  16.43167673]
 [13.78404875 14.4222051 ]
 [11.91637529 11.48912529]]","[[0.99999989 0.9999999 ]
 [0.99999984 0.99999983]
 [0.99999963 0.99999961]]"
4187,2827,Yes,DSC00306.JPG,0.060185185185185175,0.5413533834586466,0.5215686274509804,133,87,61,"[[978 932]
 [664 880]
 [672 692]]","[[11206  8776]
 [ 6502  9258]
 [ 7098  7130]]","[[26.13031018 23.2013886 ]
 [25.65959993 16.28964457]
 [11.33454289  8.23712623]]","[[200 216]
 [164 176]
 [126 126]]","[[14.14213562 14.69693846]
 [12.80624847 13.26649916]
 [11.22497216 11.22497216]]","[[0.9999998  0.99999985]
 [0.99999979 0.99999971]
 [0.99999951 0.99999952]]"
4198,3038,Yes,DSC00306.JPG,0.06989247311827956,0.4558823529411764,0.5333333333333333,136,100,74,"[[2658 2843]
 [2785 2861]
 [2654 2484]]","[[79292 74185]
 [92667 92279]
 [94532 93370]]","[[10.91647644  5.86860171]
 [ 5.46918156  5.73121064]
 [ 1.97253779  2.78406078]]","[[158 156]
 [132 128]
 [100  98]]","[[12.56980509 12.489996  ]
 [11.48912529 11.3137085 ]
 [10.          9.89949494]]","[[0.99999923 0.99999932]
 [0.99999835 0.99999847]
 [0.99999648 0.99999675]]"
4229,3207,Yes,DSC00306.JPG,0.07309941520467833,0.33333333333333326,0.6705882352941176,171,139,114,"[[1670 2929]
 [1668 3831]
 [1230 4310]]","[[ 28064  85357]
 [ 34982 155587]
 [ 26898 216436]]","[[13.32823481  6.47819069]
 [10.21161882  1.75229137]
 [ 8.52463843  0.09517869]]","[[164 156]
 [128 128]
 [100 106]]","[[12.80624847 12.489996  ]
 [11.3137085  11.3137085 ]
 [10.         10.29563014]]","[[0.99999981 0.99999964]
 [0.9999996  0.99999941]
 [0.99999941 0.99999932]]"
4229,3313,Yes,DSC00306.JPG,0.056372549019607844,0.5573770491803279,0.47843137254901963,122,77,54,"[[1226 1523]
 [1191 1249]
 [1048  894]]","[[15988 23619]
 [17329 24103]
 [16048 15402]]","[[18.82052927 14.18530012]
 [13.30250846 13.97007558]
 [ 4.83187274 15.15349833]]","[[188 194]
 [162 150]
 [120 108]]","[[13.7113092  13.92838828]
 [12.72792206 12.24744871]
 [10.95445115 10.39230485]]","[[0.99999968 0.99999954]
 [0.9999994  0.99999918]
 [0.99999883 0.99999906]]"
4779,3303,Yes,DSC00306.JPG,0.07870370370370366,0.16289592760181001,0.8666666666666667,221,202,185,"[[1655 1986]
 [1697 2209]
 [1478 1864]]","[[29547 41936]
 [39633 61131]
 [37540 54866]]","[[12.95723356 15.50700027]
 [12.67092798  5.36125452]
 [ 8.47960949  3.23934974]]","[[172 176]
 [142 134]
 [ 98 102]]","[[13.11487705 13.26649916]
 [11.91637529 11.5758369 ]
 [ 9.89949494 10.09950494]]","[[0.99999989 0.99999984]
 [0.99999973 0.99999958]
 [0.99999946 0.99999918]]"
